Name,Time,MSGRECV,SCCPRECV,LKSET,SLC,TYPE,TXLOAD,RXLOAD,TOTAL,LKSET,SLC,TYPE,TXLOAD,RXLOAD,TOTAL
HFH2,2020/12/1,29337739,29331129,LBS22,0,64k,0.0212,0.0107,0.0319,HZH2,15,2m,0.1426,0.1298,0.2724
HFL6,2020/12/1,25700871,23362077,HNADS2,1,64k,0.0447,0.043,0.0876,HFH2,14,2m,0.1115,0.1017,0.2132
HFL7,2020/12/1,29687564,26565926,XUCDS1-L3,10,64k,0.0325,0.0439,0.0764,HFHSS06FE02BHW-L1,6,2m,0.0992,0.123,0.2221
HNAL8,2020/12/1,30445392,27044216,WUHDS1_NEW_L4,9,64k,0.0451,0.0337,0.0789,HFHSS06FE02BHW_L2,3,2m,0.1029,0.1241,0.2269
HFH2,2020-12-02,29116286,29110212                                 ,LBS22,0,64k,0.0203,0.0103,0.0306                  ,HZH2,15,2m,0.1429,0.1297,0.2726                   
HFL6,2020-12-02,28078130,25417305                                 ,HNADS2,1,64k,0.0452,0.0425,0.0876                 ,HFH2,14,2m,0.1099,0.1022,0.2121                   
HFL7,2020-12-02,31075265,27615130                                 ,XUCDS2-L3,8,64k,0.0339,0.0462,0.0801              ,HFHSS06FE02BHW-L1,6,2m,0.0947,0.1187,0.2133       
HNAL8,2020-12-02,31845771,28084830                                 ,WUHDS1_NEW_L4,11,64k,0.0466,0.0345,0.0811         ,HFHSS06FE02BHW_L2,7,2m,0.0968,0.1195,0.2163       
HFH2,2020-12-03,29632744,29626698                                 ,LBS22,0,64k,0.0218,0.0110,0.0328                  ,HZH2,15,2m,0.1334,0.1241,0.2575                   
HFL6,2020-12-03,27191834,24595519                                 ,HNADS2,3,64k,0.0459,0.0433,0.0892                 ,HFH2,14,2m,0.1114,0.1037,0.2150                   
HFL7,2020-12-03,30542537,27339039                                 ,XUCDS1-L3,10,64k,0.0326,0.0432,0.0757             ,HFHSS06FE02BHW-L1,6,2m,0.0949,0.1189,0.2138       
HNAL8,2020-12-03,31252747,27781929                                 ,WUHDS1_NEW_L4,15,64k,0.0475,0.0343,0.0818         ,HFHSS06FE02BHW_L2,3,2m,0.0978,0.1186,0.2163       
HFH2,2020-12-04,32494345,32488411                                 ,LBS22,0,64k,0.0209,0.0106,0.0315                  ,HZH2,11,2m,0.1998,0.1671,0.3669                   
HFL6,2020-12-04,34339763,31256189                                 ,HNADS2,3,64k,0.0472,0.0456,0.0928                 ,HFH2,14,2m,0.1168,0.1058,0.2226                   
HFL7,2020-12-04,38235173,33470751                                 ,XUCDS1-L3,10,64k,0.0345,0.0453,0.0798             ,HFHSS06FE02BHW-L1,6,2m,0.1314,0.1580,0.2894       
HNAL8,2020-12-04,39067398,33952528                                 ,WUHDS1_NEW_L4,9,64k,0.0490,0.0359,0.0849          ,HFHSS06FE02BHW_L2,7,2m,0.1323,0.1586,0.2908       
HFH2,2020-12-05,29483903,29477797                                 ,LBS22,0,64k,0.0204,0.0104,0.0308                  ,HZH2,15,2m,0.1352,0.1271,0.2622                   
HFL6,2020-12-05,26740751,24316492                                 ,HNADS1,3,64k,0.0429,0.0410,0.0839                 ,HFH2,14,2m,0.1136,0.1053,0.2189                   
HFL7,2020-12-05,30777564,27287852                                 ,XUCDS2-L3,8,64k,0.0319,0.0410,0.0729              ,HFHSS06FE02BHW-L1,6,2m,0.1044,0.1306,0.2350       
HNAL8,2020-12-05,31518515,27751558                                 ,WUHDS1_NEW_L4,13,64k,0.0428,0.0309,0.0737         ,HFHSS06FE02BHW_L2,5,2m,0.1075,0.1318,0.2393       
HFH2,2020-12-06,28398877,28392638                                 ,LBS22,0,64k,0.0214,0.0109,0.0323                  ,HZH2,15,2m,0.1247,0.1190,0.2436                   
HFL6,2020-12-06,24271510,22078612                                 ,HNADS2,5,64k,0.0412,0.0393,0.0805                 ,HFH2,14,2m,0.1089,0.1008,0.2097                   
HFL7,2020-12-06,27668679,24770841                                 ,XUCDS2-L3,8,64k,0.0306,0.0409,0.0715              ,HFHSS06FE02BHW-L1,6,2m,0.0927,0.1172,0.2099       
HNAL8,2020-12-06,28409354,25301913                                 ,XUCDS1_L4,13,64k,0.0312,0.0407,0.0719             ,HFHSS06FE02BHW_L2,3,2m,0.0958,0.1162,0.2120       
HFH2,2020-12-07,28186214,28180215                                 ,LBS22,0,64k,0.0214,0.0108,0.0323                  ,HZH2,15,2m,0.1313,0.1220,0.2532                   
HFL6,2020-12-07,25228948,23059887                                 ,HNADS1,5,64k,0.0472,0.0442,0.0914                 ,HFH2,14,2m,0.1092,0.1001,0.2093                   
HFL7,2020-12-07,27264580,24510498                                 ,XUCDS2-L3,14,64k,0.0339,0.0454,0.0794             ,HFHSS06FE02BHW-L1,6,2m,0.0902,0.1117,0.2020       
HNAL8,2020-12-07,27930015,24915466                                 ,WUHDS1_NEW_L4,9,64k,0.0473,0.0349,0.0822          ,HFHSS06FE02BHW_L2,7,2m,0.0924,0.1136,0.2060       
HFH2,2020-12-08,29012151,29006163                                 ,LBS22,0,64k,0.0219,0.0111,0.0330                  ,HZH2,15,2m,0.1475,0.1318,0.2792                   
HFL6,2020-12-08,25545475,23339304                                 ,HNADS2,1,64k,0.0462,0.0441,0.0903                 ,HFH2,14,2m,0.1103,0.0999,0.2101                   
HFL7,2020-12-08,28326015,25497971                                 ,XUCDS1-L3,12,64k,0.0328,0.0436,0.0764             ,HFHSS06FE02BHW-L1,6,2m,0.0960,0.1183,0.2143       
HNAL8,2020-12-08,29037448,25939483                                 ,WUHDS1_NEW_L4,11,64k,0.0468,0.0351,0.0818         ,HFHSS06FE02BHW_L2,3,2m,0.0990,0.1180,0.2170       
HFH2,2020-12-09,28908302,28902155                                 ,LBS22,0,64k,0.0211,0.0107,0.0318                  ,HZH2,15,2m,0.1461,0.1316,0.2776                   
HFL6,2020-12-09,26894153,24522549                                 ,HNADS2,3,64k,0.0454,0.0447,0.0901                 ,HFH2,14,2m,0.1113,0.1014,0.2128                   
HFL7,2020-12-09,28425320,25583589                                 ,XUCDS1-L3,8,64k,0.0319,0.0436,0.0754              ,HFHSS06FE02BHW-L1,6,2m,0.0934,0.1156,0.2090       
HNAL8,2020-12-09,29119928,26011401                                 ,WUHDS1_NEW_L4,15,64k,0.0472,0.0352,0.0824         ,HFHSS06FE02BHW_L2,3,2m,0.0969,0.1175,0.2143       
HFH2,2020-12-10,29031271,29025162                                 ,LBS22,0,64k,0.0196,0.0099,0.0296                  ,HZH2,15,2m,0.1456,0.1313,0.2769                   
HFL6,2020-12-10,27154423,24819353                                 ,HNADS2,1,64k,0.0457,0.0446,0.0903                 ,HFH2,14,2m,0.1107,0.1024,0.2132                   
HFL7,2020-12-10,28647813,25567563                                 ,XUCDS2-L3,8,64k,0.0331,0.0433,0.0764              ,HFHSS06FE02BHW-L1,6,2m,0.0949,0.1173,0.2121       
HNAL8,2020-12-10,29347252,26012020                                 ,WUHDS2_NEW_L4,9,64k,0.0487,0.0336,0.0823          ,HFHSS06FE02BHW_L2,7,2m,0.0956,0.1171,0.2127       
HFH2,2020-12-11,29877740,29871785                                 ,LBS22,0,64k,0.0202,0.0102,0.0305                  ,HZH2,15,2m,0.1614,0.1410,0.3024                   
HFL6,2020-12-11,28658682,26114336                                 ,HNADS2,1,64k,0.0467,0.0451,0.0918                 ,HFH2,14,2m,0.1124,0.1045,0.2170                   
HFL7,2020-12-11,31760045,27873871                                 ,XUCDS2-L3,14,64k,0.0318,0.0439,0.0757             ,HFH2-L1,8,2m,0.1081,0.1197,0.2277                 
HNAL8,2020-12-11,32512632,28364876                                 ,WUHDS1_NEW_L4,15,64k,0.0479,0.0348,0.0827         ,HFH2_L2,11,2m,0.1106,0.1215,0.2321                
HFH2,2020-12-12,29423142,29417414                                 ,LBS22,0,64k,0.0228,0.0115,0.0343                  ,HZH2,15,2m,0.1553,0.1367,0.2920                   
HFL6,2020-12-12,28756961,26047816                                 ,HNADS2,7,64k,0.0442,0.0424,0.0866                 ,HFH2,14,2m,0.1102,0.1025,0.2127                   
HFL7,2020-12-12,31893040,28167775                                 ,XUCDS2-L3,12,64k,0.0320,0.0433,0.0753             ,HFH2-L1,8,2m,0.1036,0.1137,0.2173                 
HNAL8,2020-12-12,32645862,28639668                                 ,WUHDS1_NEW_L4,15,64k,0.0445,0.0320,0.0765         ,HFHSS06FE02BHW_L2,3,2m,0.1002,0.1220,0.2222       
HFH2,2020-12-13,28514122,28507322                                 ,LBS22,0,64k,0.0237,0.0120,0.0356                  ,HZH2,15,2m,0.1217,0.1179,0.2395                   
HFL6,2020-12-13,24331645,22127987                                 ,HNADS1,5,64k,0.0385,0.0366,0.0752                 ,HFH2,14,2m,0.1080,0.1007,0.2087                   
HFL7,2020-12-13,27888543,24938661                                 ,XUCDS2-L3,8,64k,0.0289,0.0391,0.0680              ,HFHSS06FE02BHW-L1,4,2m,0.0878,0.1154,0.2032       
HNAL8,2020-12-13,28574732,25347211                                 ,WUHDS1_NEW_L4,9,64k,0.0405,0.0289,0.0694          ,HFHSS06FE02BHW_L2,3,2m,0.0926,0.1137,0.2064       
HFH2,2020-12-14,27700572,27694107                                 ,LBS22,0,64k,0.0205,0.0104,0.0309                  ,HZH2,15,2m,0.1233,0.1176,0.2409                   
HFL6,2020-12-14,24184169,22032373                                 ,HNADS2,5,64k,0.0460,0.0438,0.0899                 ,HFH2,14,2m,0.1075,0.0995,0.2070                   
HFL7,2020-12-14,26680088,23926381                                 ,XUCDS2-L3,8,64k,0.0335,0.0443,0.0778              ,HFHSS06FE02BHW-L1,6,2m,0.0928,0.1161,0.2089       
HNAL8,2020-12-14,27351461,24335500                                 ,WUHDS1_NEW_L4,11,64k,0.0462,0.0341,0.0804         ,HFHSS06FE02BHW_L2,5,2m,0.0939,0.1157,0.2096       
HFH2,2020-12-15,28885257,28879106                                 ,LBS22,0,64k,0.0229,0.0116,0.0345                  ,HZH2,8,2m,0.1358,0.1311,0.2669                    
HFL6,2020-12-15,25505465,23269974                                 ,HNADS2,7,64k,0.0455,0.0435,0.0890                 ,HFH2,14,2m,0.1097,0.1029,0.2126                   
HFL7,2020-12-15,28047196,25191969                                 ,XUCDS2-L3,14,64k,0.0337,0.0455,0.0792             ,HFH2-L1,8,2m,0.1003,0.1079,0.2083                 
HNAL8,2020-12-15,28790609,25668366                                 ,WUHDS1_NEW_L4,13,64k,0.0478,0.0349,0.0826         ,HFHSS06FE02BHW_L2,7,2m,0.0934,0.1161,0.2095       
HFH2,2020-12-16,28427858,28421683                                 ,LBS22,0,64k,0.0225,0.0114,0.0339                  ,HZH2,15,2m,0.1289,0.1215,0.2504                   
HFL6,2020-12-16,24861586,22623522                                 ,HNADS2,7,64k,0.0467,0.0456,0.0923                 ,HFH2,14,2m,0.1121,0.1040,0.2161                   
HFL7,2020-12-16,27033008,24337402                                 ,XUCDS2-L3,8,64k,0.0340,0.0457,0.0797              ,HFHSS06FE02BHW-L1,6,2m,0.0922,0.1142,0.2064       
HNAL8,2020-12-16,27696193,24744972                                 ,WUHDS1_NEW_L4,9,64k,0.0495,0.0363,0.0858          ,HFHSS06FE02BHW_L2,3,2m,0.0947,0.1147,0.2093       
HFH2,2020-12-17,28579122,28573095                                 ,LBS22,0,64k,0.0196,0.0100,0.0296                  ,HZH2,15,2m,0.1352,0.1248,0.2600                   
HFL6,2020-12-17,24709090,22485214                                 ,HNADS2,1,64k,0.0465,0.0443,0.0909                 ,HFH2,14,2m,0.1119,0.1039,0.2158                   
HFL7,2020-12-17,27319750,24567656                                 ,XUCDS1-L3,8,64k,0.0330,0.0453,0.0784              ,HFHSS06FE02BHW-L1,6,2m,0.0907,0.1133,0.2040       
HNAL8,2020-12-17,28037635,25023665                                 ,WUHDS2_NEW_L4,9,64k,0.0484,0.0345,0.0829          ,HFHSS06FE02BHW_L2,5,2m,0.0935,0.1143,0.2078       
HFH2,2020-12-18,28785571,28779523                                 ,LBS22,0,64k,0.0210,0.0107,0.0317                  ,HZH2,15,2m,0.1394,0.1266,0.2660                   
HFL6,2020-12-18,24336319,22088100                                 ,HNADS2,5,64k,0.0487,0.0459,0.0946                 ,HFH2,14,2m,0.1118,0.1028,0.2145                   
HFL7,2020-12-18,27710729,24924978                                 ,XUCDS2-L3,14,64k,0.0329,0.0442,0.0771             ,HFH2-L1,8,2m,0.1001,0.1101,0.2102                 
HNAL8,2020-12-18,28416002,25360606                                 ,WUHDS2_NEW_L4,15,64k,0.0499,0.0358,0.0857         ,HFH2_L2,11,2m,0.1009,0.1098,0.2107                
HFH2,2020-12-19,29740059,29733418                                 ,LBS22,0,64k,0.0201,0.0102,0.0302                  ,HZH2,15,2m,0.1435,0.1325,0.2760                   
HFL6,2020-12-19,25748721,23214798                                 ,HNADS2,3,64k,0.0437,0.0415,0.0852                 ,HFH2,14,2m,0.1134,0.1044,0.2178                   
HFL7,2020-12-19,29742595,26627749                                 ,XUCDS1-L3,10,64k,0.0314,0.0419,0.0733             ,HFHSS06FE02BHW-L1,6,2m,0.0989,0.1247,0.2236       
HNAL8,2020-12-19,30466483,27057959                                 ,WUHDS1_NEW_L4,11,64k,0.0453,0.0329,0.0782         ,HFHSS06FE02BHW_L2,3,2m,0.1011,0.1233,0.2244       
HFH2,2020-12-20,29134715,29128348                                 ,LBS22,0,64k,0.0203,0.0103,0.0305                  ,HZH2,15,2m,0.1376,0.1284,0.2660                   
HFL6,2020-12-20,24189919,21754356                                 ,HNADS2,3,64k,0.0409,0.0392,0.0802                 ,HFH2,14,2m,0.1101,0.1017,0.2118                   
HFL7,2020-12-20,28890859,25927869                                 ,XUCDS1-L3,8,64k,0.0316,0.0416,0.0732              ,HFH2-L1,8,2m,0.0999,0.1112,0.2111                 
HNAL8,2020-12-20,29634380,26379872                                 ,WUHDS1_NEW_L4,15,64k,0.0432,0.0319,0.0750         ,HFHSS06FE02BHW_L2,3,2m,0.0968,0.1181,0.2149       
HFH2,2020-12-21,NomeasurementN7filefound!                         ,sort: open failed: /tmp/t3/20201221.101500.txt: No,sort: open failed: /tmp/t3/20201221.101500.txt: No
HFL6,2020-12-21,23687060,21412495                                 ,HNADS2,3,64k,0.0499,0.0469,0.0968                 ,HFH2,14,2m,0.1100,0.1026,0.2126                   
HFL7,2020-12-21,27488683,24747412                                 ,XUCDS2-L3,8,64k,0.0360,0.0471,0.0832              ,HFH2-L1,8,2m,0.0979,0.1077,0.2056                 
HNAL8,2020-12-21,28179798,25168079                                 ,WUHDS1_NEW_L4,11,64k,0.0518,0.0364,0.0882         ,HFHSS06FE02BHW_L2,3,2m,0.0942,0.1143,0.2084       
HFH2,2020-12-22,28527293,28520956                                 ,LBS22,0,64k,0.0206,0.0104,0.0310                  ,HZH2,15,2m,0.1297,0.1224,0.2521                   
HFL6,2020-12-22,23738790,21511060                                 ,HNADS2,5,64k,0.0507,0.0476,0.0983                 ,HFH2,14,2m,0.1104,0.1017,0.2121                   
HFL7,2020-12-22,27069863,24426674                                 ,XUCDS1-L3,8,64k,0.0340,0.0466,0.0806              ,HFH2-L1,8,2m,0.0974,0.1070,0.2044                 
HNAL8,2020-12-22,27742765,24844494                                 ,WUHDS1_NEW_L4,11,64k,0.0495,0.0355,0.0850         ,HFHSS06FE02BHW_L2,5,2m,0.0913,0.1126,0.2039       
HFH2,2020-12-23,29300795,29294459                                 ,LBS22,0,64k,0.0198,0.0100,0.0298                  ,HZH2,15,2m,0.1356,0.1261,0.2617                   
HFL6,2020-12-23,23995832,21776468                                 ,HNADS2,7,64k,0.0478,0.0459,0.0936                 ,HFH2,14,2m,0.1111,0.1034,0.2145                   
HFL7,2020-12-23,27904035,25190459                                 ,XUCDS1-L3,12,64k,0.0329,0.0440,0.0769             ,HFH2-L1,8,2m,0.0985,0.1067,0.2052                 
HNAL8,2020-12-23,28562804,25592949                                 ,WUHDS1_NEW_L4,9,64k,0.0473,0.0350,0.0823          ,HFH2_L2,11,2m,0.0990,0.1073,0.2063                
HFH2,2020-12-24,29297991,29291715                                 ,LBS22,0,64k,0.0190,0.0096,0.0286                  ,HZH2,15,2m,0.1396,0.1279,0.2676                   
HFL6,2020-12-24,24415326,22216162                                 ,HNADS2,3,64k,0.0483,0.0453,0.0937                 ,HFH2,14,2m,0.1121,0.1044,0.2165                   
HFL7,2020-12-24,28077940,25340577                                 ,XUCDS2-L3,8,64k,0.0343,0.0449,0.0792              ,HFH2-L1,8,2m,0.0985,0.1088,0.2073                 
HNAL8,2020-12-24,28756837,25755484                                 ,WUHDS1_NEW_L4,9,64k,0.0483,0.0359,0.0842          ,HFHSS06FE02BHW_L2,3,2m,0.0936,0.1126,0.2062       
